link_id,road_no,road_link_name,road_class,surface_type,region,station,link_length_km,bridge_crossings_on_link,has_aadt_evidence,traffic_match_type,latest_aadt_year,latest_adt,current_aadt_2026,current_adt_excluding_motorcycles,annual_weighted_growth_rate,seasonal_factor,evidence_observation_count,proxy_evidence_count,duplicate_slot_factor,observed_years,annual_detail_years,traffic_basis,sources
C281_Link01,C281,Mubende-Biwanga,C,Unsealed,Central,Mubende,4.879,0,Yes,exact-link,2025,1893.49,2007.1,745.06,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C197_Link01,C197,Kawolongojjo Railway Access,C,Unsealed,Central,Mpigi,2.56,0,Yes,exact-link,2025,2108.66,2235.18,408.85,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C302_Link02,C302,Zirobwe-Bamunanika,C,Unsealed,Central,Luwero,11.501,0,Yes,exact-link,2025,12406.51,13150.9,6661.62,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C166_Link01,C166,Madu-Kisozi-R.Katonga,C,Bituminous,Central,Mpigi,22.106,0,Yes,exact-link-raw-tis-reconciled,2024,1407.57,1499.1,797.86,0.032,1,7,,1,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
C223_Link01,C223,Taba -Kyeesiga-Ddimo Landing site,C,Unsealed,Central,Masaka,17.097,0,Yes,exact-link-raw-tis-reconciled,2024,1164.12,1239.82,150.43,0.032,1,8,,1,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
C187_Link01,C187,Namayumba - Kitalya Prison - Kamuli,C,Unsealed,Central,Kampala,19.252,1,Yes,exact-link-raw-tis-reconciled,2024,407,433.46,44.12,0.032,1,7,,1,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
C003_Link01,C003,Nazigo-Kireku-Nkokonjeru-Kitimbwa,C,Unsealed,Central,Kampala,41.578,0,Yes,exact-link,2025,4633.32,4911.32,3204.1,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C160_Link01,C160,Mpigi-Kasanje-Buwaya,C,Unsealed,Central,Mpigi,19.789,0,Yes,exact-link,2025,3256.23,3451.61,1883.77,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C215_Link02,C215,Kalungu - Mityegonga,C,Unsealed,Central,Masaka,9.315,0,Yes,exact-link,2025,1539.66,1632.04,527.12,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C162_Link04,C162,Madu - Kasambya,C,Unsealed,Central,Mpigi,36.155,0,Yes,exact-link-raw-tis-reconciled,2024,662.57,705.65,134.19,0.032,1,7,,1,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
C219_Link01,C219,Masaka army barracks,C,Unsealed,Central,Masaka,1.018,0,Yes,exact-link,2025,1958.84,2076.37,790.68,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
A002_Link05,A002,Lukaya - Masaka - bypass,A,Bituminous,Central,Masaka,34,0,Yes,exact-link,2025,25613.14,27149.93,21258.71,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C318_Link01,C318,Sasira-Namika,C,Unsealed,Central,Luwero,22.082,0,Yes,exact-link,2025,1072.66,1137.02,594.7,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C182_Link01,C182,Buloba - Wakiso,C,Unsealed,Central,Kampala,8.869,0,Yes,exact-link,2025,1823.36,1932.76,971.45,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C034_Link01,C034,Bugungu Prisons Access,C,Unsealed,Central,Kampala,3.523,0,Yes,exact-link,2025,5305.92,5624.28,2252.08,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C273_Link01,C273,Myanzi - Kasanda,C,Unsealed,Central,Mubende,16.86,0,Yes,exact-link,2025,1342.02,1422.54,527.12,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
A005_Link04,A005,Myanzi - Kiganda,A,Bituminous,Central,Mubende,27.705,0,Yes,exact-link,2025,4075.47,4320,2329.79,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C263_Link01,C263,Myanzi loop,C,Unsealed,Central,Mubende,1.839,0,Yes,exact-link,2025,1893.49,2007.1,745.06,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C154_Link01,C154,Matugga - Semuto - Kapeka,C,Bituminous,Central,Luwero,39.679,0,Yes,exact-link-raw-tis-reconciled,2024,6445.14,6864.23,2078.17,0.032,1,7,,1,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
C212_Link01,C212,Bukakata - Lambu Port,C,Bituminous,Central,Masaka,4.979,0,Yes,exact-link,2025,1958.84,2076.37,790.68,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
A002_Link06,A002,Masaka  - Lyantonde,A,Bituminous,Central,Masaka,67.781,0,Yes,exact-link-raw-tis-reconciled,2024,4644.11,5071.49,3236.16,0.045,1,9,,1,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
C309_Link01,C309,Nakasongola - Airbase,C,Bituminous,Central,Luwero,6.699,0,Yes,exact-link,2025,1072.66,1137.02,594.7,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C313_Link01,C313,Katikamu - Kikyusa,C,Unsealed,Central,Luwero,16.881,0,Yes,exact-link,2025,1590.66,1686.1,667.34,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C029_Link02,C029,Nyenga-Buikwe,C,Unsealed,Central,Kampala,14.709,0,Yes,exact-link,2025,5305.92,5624.28,2252.08,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
A004_Link01,A004,Masaka round about - Kyotera,A,Bituminous,Central,Masaka,44.248,0,Yes,exact-link-raw-tis-reconciled,2024,17808.62,19447.46,4376.7,0.045,1,8,,1,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
C234_Link01,C234,Mukoko-Birinzi-Ssunga,C,Unsealed,Central,Masaka,12.763,0,Yes,exact-link,2025,1958.84,2076.37,790.68,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C046_Link01,C046,Zirobwe - Lwajjali - Kasawo - Kabimbiri,C,Unsealed,Central,Luwero,22.974,0,Yes,exact-link,2025,3636.36,3854.55,1883.77,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C200_Link01,C200,Lukolo-Bunjako,C,Unsealed,Central,Mpigi,13.855,0,Yes,exact-link,2025,680.57,721.41,265.25,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C304_Link01,C304,Kisule - Nakaseke - Kapeeka,C,Unsealed,Central,Luwero,34.106,0,Yes,exact-link,2025,2475.25,2623.76,792.37,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C166_Link04,C166,Matete - Mbirizi,C,Unsealed,Central,Masaka,17.309,0,Yes,exact-link,2025,1632.1,1730.03,655.52,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C226_Link01,C226,Kyabakuza - Kyogya - Matete,C,Unsealed,Central,Masaka,30.297,0,Yes,exact-link-raw-tis-reconciled,2024,1661.38,1769.4,444.38,0.032,1,8,,1,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
B100_Link02,B100,Gayaza - Kalagi,B,Bituminous,Central,Kampala,20.154,0,Yes,exact-link,2025,25410.72,26935.36,12721.78,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C025_Link02,C025,Lugasa - Najja,C,Bituminous,Central,Kampala,10.408,0,Yes,exact-link,2025,5305.92,5624.28,2252.08,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C172_Link01,C172,Kawuku - Bwerenga,C,Unsealed,Central,Kampala,6.573,0,Yes,exact-link,2025,3256.23,3451.61,1883.77,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C229_Link01,C229,Luku Pier - Kalangala HQ,C,Unsealed,Central,Masaka,34.652,0,Yes,exact-link,2025,881.4,934.28,332.83,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
B102_Link01,B102,Njeru - Bukoloto,B,Bituminous,Central,Kampala,42.591,0,Yes,exact-link,2025,5063.66,5367.47,1608.38,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C040_Link01,C040,Lugasa - Buikwe,C,Unsealed,Central,Kampala,8.723,0,Yes,exact-link,2025,5305.92,5624.28,2252.08,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C195_Link01,C195,Nakawuka - Kasanje,C,Unsealed,Central,Kampala,9.452,0,Yes,exact-link,2025,2035.34,2157.46,1177.57,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C301_Link01,C301,Zirobwe -Kikyusa - Luweero,C,Unsealed,Central,Luwero,37.188,0,Yes,exact-link,2025,5640.63,5979.07,2721.75,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C164_Link01,C164,MatalaMaria Loop,C,Unsealed,Central,Mpigi,4.303,0,Yes,exact-link,2025,680.57,721.41,265.25,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C221_Link02,C221,Lusakalwamese - Bikira,C,Unsealed,Central,Masaka,24.712,0,Yes,exact-link-raw-tis-reconciled,2024,991.88,1056.37,186.38,0.032,1,8,,1,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
A009_Link02,A009,Nansana - Busunju,A,Bituminous,Central,Kampala,45.559,1,Yes,exact-link-raw-tis-reconciled,2024,22743.79,24836.78,11089.98,0.045,1,7,,1.005,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
C326_Link01,C326,Nakasongola - Lwampanga - Zengebe Access,C,Unsealed,Central,Luwero,31.981,0,Yes,exact-link,2025,500.47,530.5,317.62,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C185_Link01,C185,Gobero-Segenga-Kakonda,C,Unsealed,Central,Luwero,14.357,0,Yes,exact-link,2025,2895.23,3068.94,1724.96,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C037_Link01,C037,Mukono Railway access off Mukono - Kyetu,C,Unsealed,Central,Kampala,2.202,0,Yes,exact-link,2025,4697.07,4978.89,2404.13,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C329_Link01,C329,Kayindu-Kalagala-Kyabakadde,C,Unsealed,Central,Luwero,27.65,0,Yes,exact-link,2025,2575.66,2730.2,1363.41,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C190_Link01,C190,Kayabwe - Nkozi - Kinyika - Ngando - Wab,C,Unsealed,Central,Mpigi,38.574,0,Yes,exact-link-raw-tis-reconciled,2024,690.57,735.48,72.73,0.032,1,7,,1,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
A006_Link05,A006,Luweero - Nakasongola,A,Bituminous,Central,Luwero,54.829,0,Yes,exact-link,2025,6698.94,7100.88,5709.88,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C279_Link01,C279,Kabamba/ Karama army barracks off Mubende,C,Unsealed,Central,Mubende,9,0,Yes,exact-link,2025,1958.84,2076.37,790.68,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C271_Link02,C271,Mutetema-Kyamusisi - Bukuya,C,Unsealed,Central,Mubende,22.976,0,Yes,exact-link,2025,747.51,792.37,261.87,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C162_Link02,C162,Kanoni - Kabulasoke,C,Bituminous,Central,Mpigi,11.347,0,Yes,exact-link-raw-tis-reconciled,2024,4067,4331.45,1059.39,0.032,1,7,,1,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
C217_Link01,C217,Miwula - Bweera-Kagologolo,C,Unsealed,Central,Masaka,35.583,0,Yes,exact-link,2025,1150.76,1219.8,642,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C317_Link01,C317,Katuugo-Kinyogogga,C,Unsealed,Central,Luwero,31.905,0,Yes,exact-link,2025,639.13,677.48,277.07,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C180_Link01,C180,Nakawuka - Namutamala - Katende - Bujuko,C,Unsealed,Central,Mpigi,35.426,0,Yes,exact-link-raw-tis-reconciled,2024,1472.86,1568.63,509.28,0.032,1,7,,3,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
A005_Link02,A005,Bujuuko - Mityana,A,Bituminous,Central,Mpigi,26.736,0,Yes,exact-link-raw-tis-reconciled,2024,6076.86,6636.08,4102.11,0.045,1,7,,1,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
C261_Link02,C261,Sekanyonyi - Kikonge,C,Unsealed,Central,Mpigi,13.567,0,Yes,exact-link,2025,2108.66,2235.18,408.85,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
A005_Link07,A005,Lusalira - Nabingoola - Lubaale,A,Bituminous,Central,Mubende,16.3,0,Yes,exact-link,2025,3382.94,3585.92,2087.35,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C265_Link02,C265,Masozi- Madu,C,Unsealed,Central,Mpigi,20.742,0,Yes,exact-link,2025,4230.07,4483.88,1111.68,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C158_Link01,C158,Nakiwogo Statehouse road,C,Bituminous,Central,Kampala,1.517,0,Yes,exact-link,2025,3256.23,3451.61,1883.77,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C214_Link02,C214,Lumbugu - Kyotera,C,Bituminous,Central,Masaka,16.241,0,Yes,exact-link,2025,3766.26,3992.24,2317.97,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C312_Link01,C312,Kalule - Bowa - Nakaseke,C,Unsealed,Central,Luwero,20.579,0,Yes,exact-link,2025,1437.65,1523.91,760.27,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C175_Link01,C175,Abayita Ababiri - Kasenyi,C,Unsealed,Central,Kampala,5.446,0,Yes,exact-link,2025,4249.2,4504.15,1343.14,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C028_Link01,C028,Najja - Nyenga,C,Bituminous,Central,Kampala,9.791,0,Yes,exact-link,2025,5305.92,5624.28,2252.08,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
A003_Link01,A003,Kibuye - Zana,A,Bituminous,Central,Kampala,4.891,0,Yes,exact-link,2025,41696.66,44198.46,32988.77,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C232_Link01,C232,Lyantonde - High Street,C,Bituminous,Central,Masaka,1.33,0,Yes,exact-link,2025,1703.82,1806.05,886.98,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C044_Link01,C044,Buikwe - Lugasa(Makindu),C,Unsealed,Central,Kampala,6.949,0,Yes,exact-link,2025,5305.92,5624.28,2252.08,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C198_Link01,C198,Budo-Nakasozi,C,Bituminous,Central,Mpigi,3.718,0,Yes,exact-link,2025,3256.23,3451.61,1883.77,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C302_Link03,C302,Bamunanika-Wobulenzi,C,Unsealed,Central,Luwero,11.606,0,Yes,exact-link,2025,12406.51,13150.9,6661.62,0.06,1,1,,,2025,2025,Exact 2025 classified link ADT predicted to 2026 using Traffic_estimate_2025.xlsx growth factor,Traffic_estimate_2025.xlsx
C152_Link01,C152,Kireka-Namugongo-Misindye-Seeta,C,Bituminous,Central,Kampala,14.879,1,Yes,exact-link-raw-tis-reconciled,2024,27177.81,28945.02,10395.04,0.032,1,7,,3,2024,2024,Reconciled from TIS 2024 raw classified hourly counts by grouping date-hour-direction slots and averaging duplicate rows before daily ADT aggregation; applied because the embedded estimate was duplicated or materially inconsistent with the raw link count,Traffic_estimate_2025.xlsx; TIS 2025_AADT analysis.xlsx; Raw TIS duplicate/mismatch reconciliation
